ListID,Name,FullName,CompanyName,ContactName,Email,Phone,AltPhone,Fax,BillAddress,BillCity,BillState,BillZip,BillCountry,ShipAddress,ShipCity,ShipState,ShipZip,ShipCountry,CustomerType,Terms,SalesRep,Balance,TotalBalance,CreditLimit,AccountNumber,ResaleNumber,VatNumber,TinNumber,IsVatRegistered,TaxItemRef,TaxCodeRef,IsActive,Notes
800001DB-1305862871,.,.,,,,,,,,,,,,,,,,,,,,0.00,0.00,0,,,,,0,Non VAT,Tax,0,
80000226-1347514216,".FRONTIER AUTOMOTIVES (PVT) LTD.,",".FRONTIER AUTOMOTIVES (PVT) LTD.,",,,,,,,".FRONTIER AUTOMOTIVES (PVT) LTD.,",,,,,,,,,,,,,0.00,0.00,0,,,,,0,,Tax,1,
80000399-1500954757,000,000,,,,,,,000,,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,,Tax,1,
80000408-1522672306,0Lakvijaya Power Station,0Lakvijaya Power Station,,,,,,,0Lakvijaya Power Station,,,,,,,,,,,,,0.00,0.00,0,,,,,0,,Tax,1,
8000051E-1629524292,1,1,Cancel Invoice,,,,,,Cancel Invoice,,,,,,,,,,,,,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
80000215-1334644260,2CHRISTIAN AID,2CHRISTIAN AID,,,,,,,2CHRISTIAN AID,,,,,,,,,,,,,0.00,0.00,0,,,,,0,,Tax,1,
80000497-1563782123,361 Degrees (Pvt) Ltd,361 Degrees (Pvt) Ltd,361 Degrees (Pvt) Ltd,,,,,,"361 Degrees (Pvt) Ltd, 185/1 Sri Gnanendra Mawatha",Nawala,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000519-1625822394,579 Holdings,579 Holdings,579 Holdings,,,,,,"579 Holdings, 78/1 , Welyaya Road, Navinna,",Maharagama,,,,,,,,,,,AD,13800.00,13800.00,0,,,,,0,VAT15%,Tax,1,
8000022D-1351141822,6Maharaja Entertainments (PVT)Ltd,6Maharaja Entertainments (PVT)Ltd,,,,,,,6Maharaja Entertainments (PVT)Ltd,,,,,,,,,,,,,0.00,0.00,0,,,,,0,,Tax,1,
800003DA-1513143517,99X Technology Limited,99X Technology Limited,,,,,,,"99X Technology Limited, No 65 Walukarama Road,",Colombo 03,,,,,,,,,,,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800003B6-1506574228,a-Design Studio,a-Design Studio,,,,,,,"a-Design Studio, 38 , Haig Road ,",,Haig,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000018-1238680044,A.BAUR & COMPANY,A.BAUR & COMPANY,A.BAUR & COMPANY,,,,,,"A.BAUR & COMPANY, SALES & DISTRIBUTION DEPT., HEALTH CARE DIVISION",COLOMBO 14,,,,,,,,,,,,0.00,0.00,0,A.B,,,,0,,,1,
8000045E-1546578184,A & F Holdings ( Aasaf),A & F Holdings ( Aasaf),,,,,,,"A & F Holdings, 365 Grandpass Road,",Colombo 14.,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
800003DE-1513827608,A J & Son,A J & Son,A J & Son,,,,,,"A J & Son, , No.44, Ketawalamulla Lane, , Dematagoda Road,",Colombo 06,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000017-1238680043,A ONE INTERNET CAFE,A ONE INTERNET CAFE,A ONE INTERNET CAFE,,,,,,A ONE INTERNET CAFE,,,,,,,,,,,,,0.00,0.00,0,A-ONE,,,,0,,,1,
800003DB-1513229025,A S IT Solutions,A S IT Solutions,,,,,,,A S IT Solutions,,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000325-1473920577,Abans Electricals PLC,Abans Electricals PLC,,,,,,,"Abans Electricals PLC, No 498 , Galle Road,",Colombo 03,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000326-1473929105,"Abans Electricals PLC, Service Dep","Abans Electricals PLC, Service Dep",,,,,,,"Abans Electricals PLC, Service Department, , 506 B, Galle Road,",Wellawatta.,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
