Type,Date,Num,Name,Item,Description,Sales Tax Code,Qty,Amount,Product Category,Rep,PONumber,Memo,QBTxnID,Subtotal,SalesTaxTotal,SalesTaxRate,SalesTaxItem,CustomerTaxCode,AppliedAmount,BalanceRemaining,IsPaid,DueDate,ShipDate,Terms,UnitPrice
Invoice,2009-04-02,AS004001,MUSLIM AID,Labour Charges,Labour Charges,VAT,1,1500.00,,Mahi,,,2E-1238689845,1500.00,180.00,12.00,VAT,Tax,-1680.00,0.00,1,2009-04-02,2009-04-02,Due on receipt,1500.00
Invoice,2009-04-02,AS004001,MUSLIM AID,Item,Work Sheet  8194,Taxable Sales,1,0,,Mahi,,,2E-1238689845,1500.00,180.00,12.00,VAT,Tax,-1680.00,0.00,1,2009-04-02,2009-04-02,Due on receipt,0
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,Synology:CS407,CS407 - 4 bay NAS,Non,1,109960.00,Synology,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,109960.00
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,Item,SN:502456,Taxable Sales,1,0,,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,0
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,OLD HDD:500GBHDDS,500GB Hard Drive SATA,Non,4,64000.00,OLD HDD,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,16000.00
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,Item,SN:502774 502775 507782 502777,Taxable Sales,1,0,,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,0
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,Item,Item,Taxable Sales,1,0,,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,0
Invoice,2009-04-08,AS004002,JAY JAY MILLS LANKA (PVT) LTD,Item,1 year warranty,Taxable Sales,1,0,,AS,26617,,34-1239178335,173960.00,0.00,0.00,Non VAT,,-173960.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,0
Invoice,2009-04-08,AS004003,KIDS UNLIMITED,Labels:ThermalRibbon,Thermal Wax Ribbon,VAT,3,3000.00,Labels,,,,3D-1239192152,3000.00,360.00,12.00,VAT,,-3360.00,0.00,1,2009-04-08,2009-04-08,Due on receipt,1000.00
Invoice,2009-04-13,AS004004,"FRONTIER AUTOMOTIVES (PVT) LTD.,",Labour Charges,Labour Charges,VAT,2,5500.00,,,,,49-1239627289,5500.00,660.00,12.00,VAT,,-6160.00,0.00,1,2009-04-13,2009-04-13,Due on receipt,2750.00
Invoice,2009-04-13,AS004004,"FRONTIER AUTOMOTIVES (PVT) LTD.,",Item,"
2 UPS Repaired with Batteries",Taxable Sales,1,0,,,,,49-1239627289,5500.00,660.00,12.00,VAT,,-6160.00,0.00,1,2009-04-13,2009-04-13,Due on receipt,0
Invoice,2009-04-13,AS004004,"FRONTIER AUTOMOTIVES (PVT) LTD.,",Item,6 months warranty on repair,Taxable Sales,1,0,,,,,49-1239627289,5500.00,660.00,12.00,VAT,,-6160.00,0.00,1,2009-04-13,2009-04-13,Due on receipt,0
