CustomerName,InvoiceNum,PaymentDate,ReferenceNum,Amount,PaymentMethod,DepositToAccount,Memo,UnusedPayment
LANKA COMMODITY BROKERS LTD,AS004012,2009-04-27,751441,17766.00,Check,Undeposited Funds,,0.00
JAY JAY MILLS LANKA (PVT) LTD,AS004002,2009-04-27,000000,173960.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004003,2009-05-15,,3360.00,Cash,Undeposited Funds,,0.00
CHRISTIAN AID,AS004006,2009-05-15,000000,4300.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004027,2009-05-15,,1900.00,Cash,Undeposited Funds,,0.00
EXPRESS NEWSPAPERS (CEYLON) LTD,AS004035,2009-05-16,145295,104975.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004005,2009-05-19,000000,1680.00,Check,Undeposited Funds,part payment of Chq,0.00
N.S.H. KARANNAGODA,AS004037,2009-05-22,,13750.00,Check,Undeposited Funds,Direct Deposit,0.00
LITHITECH ADVANCE SOLUTIONS,AS004043,2009-05-28,479550,14000.00,Check,Undeposited Funds,PD 28-06-09,0.00
DENSHUN INDUSTRIES LTD,AS004021,2009-06-02,003851,1500.00,Check,Undeposited Funds,,0.00
KIDS UNLIMITED,AS004028,2009-06-04,,3360.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004013,2009-06-04,218138,969500.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004042,2009-06-06,189629,73950.00,Check,Undeposited Funds,,0.00
CASH SALE,AS004067,2009-06-11,996375,1000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004045,2009-06-17,received,6160.00,Check,Undeposited Funds,,0.00
AssetLine,AS004038,2009-06-18,,77500.00,Check,Undeposited Funds,,0.00
"DAVID PIERIS MOTOR CO. LTD.,",AS004032,2009-06-22,221477,69300.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004004,2009-06-24,141025,6160.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004008,2009-06-24,141025,2240.00,Check,Undeposited Funds,,0.00
"FRONTIER AUTOMOTIVES (PVT) LTD.,",AS004019,2009-06-24,141025,2240.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004022,2009-06-24,,18446.40,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004034,2009-06-24,,14560.00,Check,Undeposited Funds,,0.00
LITHITECH ADVANCE SOLUTIONS,AS004010,2009-06-24,,2000.00,Cash,Undeposited Funds,,0.00
N.S.H. KARANNAGODA,AS004073,2009-06-24,,8250.00,Cash,Undeposited Funds,Direct deposit,0.00
Patrick Wicramasinghe,AS004072,2009-06-24,,3000.00,Cash,Undeposited Funds,,0.00
FCCISL,AS004029,2009-06-24,869058,117500.00,Check,Undeposited Funds,1.5% Wht Deducted,0.00
DFCC BANK,AS004040,2009-06-24,337320,52500.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS004011,2009-06-26,001837,7840.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS004051,2009-06-26,received,17766.00,Check,Undeposited Funds,,0.00
STONE N STRING (PVT) LTD,AS004044,2009-06-29,972759,73950.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS004041,2009-06-29,247113,14000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS004062,2009-06-29,,2240.00,Cash,Undeposited Funds,,0.00
MUSLIM AID,AS004063,2009-06-29,,2240.00,Cash,Undeposited Funds,,0.00
EXPRESS NEWSPAPERS (CEYLON) LTD,AS004035,2009-07-01,145647,104975.00,Check,Undeposited Funds,,0.00
CARITAS,AS004071,2009-07-01,817023,160000.00,Check,Undeposited Funds,,0.00
CHRISTIAN AID,AS004018,2009-07-01,931229,4480.00,Check,Undeposited Funds,7038-001,0.00
CHRISTIAN AID,AS004046,2009-07-01,931229,6720.00,Check,Undeposited Funds,7038-001,0.00
CHRISTIAN AID,AS004074,2009-07-01,931229,4480.00,Check,Undeposited Funds,7038-001,0.00
STATEMAN HATS (Pvt) LTD.,AS004007,2009-07-06,623367,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004009,2009-07-06,623367,2240.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS004015,2009-07-06,623367,49900.00,Check,Undeposited Funds,,0.00
