Type,Date,Num,Name,Item,Description,Sales Tax Code,Qty,Amount,Product Category,Rep,PONumber,Memo,QBTxnID,Subtotal,SalesTaxTotal,SalesTaxRate,TotalAmount,CreditRemaining,AppliedToInvoice,AppliedAmount,UnitPrice
Credit Memo,2021-03-31,,X Press Solutions (Mr. Irfan),Item,Opening balance,Taxable Sales,1,1600.00,,,,Opening balance,16F-1617705667,1600.00,0.00,0.00,1600.00,0.00,AS008888,-1600.00,1600
Credit Memo,2021-03-31,,T E C Data Solutions,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,17B-1617705669,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Studio Siyakroo,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,184-1617705670,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Studio Lakdam,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,18A-1617705671,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Sri Lanka Institute of Taxation,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,190-1617705671,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,MUSLIM AID,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,1B7-1617705676,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Liyakta Office Systems (Pvt) Ltd,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,1C6-1617705678,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Lankem Ceylon PLC,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,1C9-1617705678,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Just in Time Holdings (Pvt) Ltd,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,1DB-1617705680,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Data E Net Computer Systems (Pvt) Ltd,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,1FF-1617705685,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-03-31,,Chris and Mayu Photographers,Item,Opening balance,Taxable Sales,1,0.00,,,,Opening balance,202-1617705686,0.00,0.00,0.00,0.00,0.00,,0,0.00
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Synology:DS1821+,"Synology NAS DS1821+ 8GB RAM 8Bay
S/N 20C0SKRCXAQ44",Non,1,221200.00,Synology,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,221200.00
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,HDD:10 TB ENT SATA,"10TB Seagate Enterprise Hard Drive
S/N ZA2DW4MS	
        ZA2DW3A9",Non,2,148800.00,HDD,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,74400.00
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,HDD:250GB  SATA SSD (860Evo),"250GB SSD Samsung
S/N S3Y9NX0N830584L
S/N S3Y9NX0N830589A",Non,2,34000.00,HDD,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,17000.00
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Warranty 3 Years On NAS Unit and Hard Drives,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,PO-D/21/0000017,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Item,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-04-27,AS/CRM/0001,Avian,Item,Invoice Number -AS008837,Taxable Sales,1,0,,,PO-D/21/0000017,,692-1619505899,404000.00,0.00,0.00,404000.00,0.00,AS008867,-404000.00,0
Credit Memo,2021-06-14,ASC008925,Rapidventure (Pvt) Ltd,Item,Item,Taxable Sales,1,0,,,PO00306,,1009-1624860112,18400.00,0.00,0.00,18400.00,0.00,AS008890,-18400.00,0
Credit Memo,2021-06-14,ASC008925,Rapidventure (Pvt) Ltd,BDCOM:GSFP-SX-D,GSFP-SX-D Multimode 1G Tranceiver,Non,4,18400.00,BDCOM,,PO00306,,1009-1624860112,18400.00,0.00,0.00,18400.00,0.00,AS008890,-18400.00,4600.00
Credit Memo,2021-06-14,ASC008925,Rapidventure (Pvt) Ltd,Item,"S/N   5200060118B00496
          5200060118B00490
          5200060118B00492
          5200060118B00493",Taxable Sales,1,0,,,PO00306,,1009-1624860112,18400.00,0.00,0.00,18400.00,0.00,AS008890,-18400.00,0
Credit Memo,2021-06-14,ASC008925,Rapidventure (Pvt) Ltd,Item,Item,Taxable Sales,1,0,,,PO00306,,1009-1624860112,18400.00,0.00,0.00,18400.00,0.00,AS008890,-18400.00,0
Credit Memo,2021-06-14,ASC008925,Rapidventure (Pvt) Ltd,Item,Item,Taxable Sales,1,0,,,PO00306,,1009-1624860112,18400.00,0.00,0.00,18400.00,0.00,AS008890,-18400.00,0
Credit Memo,2021-08-10,AS/CRM/0002,VS Information Systems (Pvt) Ltd,HDD:4 TB NAS HDD,4 TB Seagate Ironwolf NAS Hard Drive,Non,4,132800.00,HDD,,,,1A51-1628576412,132800.00,0.00,0.00,132800.00,0.00,AS008956,-132800.00,33200.00
Credit Memo,2021-08-10,AS/CRM/0002,VS Information Systems (Pvt) Ltd,Item,"
S/N ZDH9R4TE	
        ZDH9R559	
        ZDH9RS5T	
        ZDH9RQGP",Taxable Sales,1,0,,,,,1A51-1628576412,132800.00,0.00,0.00,132800.00,0.00,AS008956,-132800.00,0
Credit Memo,2021-08-10,AS/CRM/0002,VS Information Systems (Pvt) Ltd,Item,Item,Taxable Sales,1,0,,,,,1A51-1628576412,132800.00,0.00,0.00,132800.00,0.00,AS008956,-132800.00,0
Credit Memo,2021-08-10,AS/CRM/0002,VS Information Systems (Pvt) Ltd,Item,Invoice Number  - AS008956,Taxable Sales,1,0,,,,,1A51-1628576412,132800.00,0.00,0.00,132800.00,0.00,AS008956,-132800.00,0
Credit Memo,2022-04-11,AS009332,Techtron Integrated Solutions (Pvt) Ltd,HDD:4TB  ENT SATA,4 TB Enterprise Exos Hard Drive,Non,2,130000.00,HDD,,,,49D4-1649677196,130000.00,0.00,0.00,130000.00,0.00,,0,65000.00
