ListID,Name,FullName,CompanyName,ContactName,Email,Phone,AltPhone,Fax,BillAddress,BillCity,BillState,BillZip,BillCountry,ShipAddress,ShipCity,ShipState,ShipZip,ShipCountry,CustomerType,Terms,SalesRep,Balance,TotalBalance,CreditLimit,AccountNumber,IsActive,Notes
80000112-1617705694,361 Degrees (Pvt) Ltd,361 Degrees (Pvt) Ltd,361 Degrees (Pvt) Ltd,,,,,,"361 Degrees (Pvt) Ltd, 185/1 Sri Gnanendra Mawatha",Nawala,,,,,,,,,Retail,,,0.00,0.00,0,,1,
80000174-1625650298,579 Holdings,579 Holdings,,,,,,,"579 Holdings, 78/1 , Welyaya Road",Maharagama,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000111-1617705694,99X Technology Limited,99X Technology Limited,,,,,,,"99X Technology Limited, No 65 Walukarama Road,",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
80000110-1617705694,a-Design Studio,a-Design Studio,,,,,,,"a-Design Studio, 38 , Haig Road ,",,Haig,,,,,,,,,,,0.00,0.00,0,,1,
8000022A-1674108348,A-Networks (Pvt) Ltd,A-Networks (Pvt) Ltd,A-Networks (Pvt) Ltd,,,,,,"A-Networks (Pvt) Ltd, No.228 1/1, Galle Road, ",VAT No.,,174876258-700,,,,,,,,,AD,0.00,0.00,0,,1,
8000010B-1617705694,A.BAUR & COMPANY,A.BAUR & COMPANY,A.BAUR & COMPANY,,,,,,"A.BAUR & COMPANY, SALES & DISTRIBUTION DEPT.",COLOMBO 14,,,,,,,,,,,,0.00,0.00,0,,1,
800001BC-1640060820,A.D.ATTYGALLE AUTO MOBILE,A.D.ATTYGALLE AUTO MOBILE,A.D.ATTYGALLE AUTO MOBILE,,,,,,"A.D.ATTYGALLE AUTO MOBILE, Ellawala,",Eheliyagoda,,,,,,,,,,,AS,0.00,0.00,0,,1,
8000010F-1617705694,A & F Holdings ( Aasaf),A & F Holdings ( Aasaf),,,,,,,"A & F Holdings, 365 Grandpass Road,",Colombo 14.,,,,,,,,,,,,0.00,0.00,0,,1,
800002C5-1734062428,A & R Manufacturing,A & R Manufacturing,,,,,,,"A & R Manufacturing, Gomaduwa , Yatiyanthota",,,,,,,,,,,,AD,0.00,0.00,0,,1,
8000010E-1617705694,A J & Son,A J & Son,A J & Son,,,,,,"A J & Son, , No.44, Ketawalamulla Lane, ",Colombo 06,,,,,,,,,,,,0.00,0.00,0,,1,
8000010D-1617705694,A ONE INTERNET CAFE,A ONE INTERNET CAFE,A ONE INTERNET CAFE,,,,,,A ONE INTERNET CAFE,,,,,,,,,,,,,0.00,0.00,0,,1,
800001C8-1641015622,A S General Trading Company,A S General Trading Company,A S General Trading Company,,,,,,"A S General Trading Company, No. 39, 1st Floor, ",Colombo 11,,,,,,,,,,,AR,-1788.00,-1788.00,0,,1,
8000010C-1617705694,A S IT Solutions,A S IT Solutions,,,,,,,A S IT Solutions,,,,,,,,,,,,,0.00,0.00,0,,1,
8000010A-1617705694,Abans Electricals PLC,Abans Electricals PLC,,,,,,,"Abans Electricals PLC, No 498 , Galle Road,",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
80000109-1617705694,"Abans Electricals PLC, Service Dep","Abans Electricals PLC, Service Dep",,,,,,,"Abans Electricals PLC, Service Department, ",Wellawatta.,,,,,,,,,,,,0.00,0.00,0,,1,
80000108-1617705694,Abans PLC.,Abans PLC.,Abans PLC,,,,,,"Abans PLC, 3rd Floor, No. 498, ",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
80000107-1617705693,ABC Computers,ABC Computers,ABC Computers,,,,,,"TIN No : 114210730, ABC Computers (Pvt) Ltd.",Colombo 07,,,,,,,,,,Cheque,AD,708590.00,708590.00,0,,1,
80000106-1617705693,ABC TRADE & INVESTMENTS (PVT) LTD,ABC TRADE & INVESTMENTS (PVT) LTD,ABC TRADE & INVESTMENTS (PVT) LTD,,info@abcsrilanka.biz,5877700,,2677284,"ABC Trade & Invesments (Pvt)Ltd, No 3. Bandaranayakapura Road",Rajagiriya,,,,,,,,,,,,0.00,0.00,0,,1,
80000105-1617705693,Abercrombie & Kent (Pvt) Ltd,Abercrombie & Kent (Pvt) Ltd,,,,,,,"Abercrombie & Kent (Pvt) Ltd, Level 17 , Access tower, ",VAT No,,114150460-700,,,,,,,,,AD,0.00,0.00,0,,1,
80000104-1617705693,Abeygunawardene Associates (Pvt) Ltd,Abeygunawardene Associates (Pvt) Ltd,Abeygunawardene Associates (PVT) Ltd,,,,,,"Abeygunawardene Associates (PVT) Ltd, No- 29, Purana Road, ",Maharagama,,,,,,,,,,,AD,0.00,0.00,0,,1,
800002DD-1740552386,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,,,,,,,"ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD, No.25 Madu Mawatha,",Negombo.,,,,,,,,,,Cheque,AR,12000.00,12000.00,0,,1,
80000103-1617705693,ACA IT PARK,ACA IT PARK,ACA IT PARK,MR. SRIKANTH,,2470519,,,"MR. SRIKANTH, ACA IT PARK",248 GEORGE R.,DE,,,,,,,,,,,0.00,0.00,0,,1,
80000102-1617705693,Access Projects,Access Projects,Access Projects,,,,,,Access Projects,,,,,,,,,,,,A,0.00,0.00,0,,1,
80000101-1617705693,Access Projects (Pvt)Ltd,Access Projects (Pvt)Ltd,Access Projects (Pvt)Ltd,,,,,,"Access Projects (Pvt)Ltd, No:40, ",Rajagiriya,,,,,,,,,,,AS,0.00,0.00,0,,1,
80000100-1617705693,Accura-Tech Accurate Technologies,Accura-Tech Accurate Technologies,Accura-Tech Accurate Technologies,,,,,,"Accura-Tech Accurate Technologies, No 48, IBM building II , ",Colombo 2.,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000FF-1617705693,Ace Apparels (Pvt) Ltd,Ace Apparels (Pvt) Ltd,Ace Apparels (Pvt) Ltd,,,,,,"Ace Apparels (Pvt) Ltd, Lot No 01, EPZ, Koggala,",Habaraduwa.,,,,,,,,,,,,0.00,0.00,0,,1,
800000FE-1617705693,Ace International Express (pvt) Ltd,Ace International Express (pvt) Ltd,"ACE INTERNATIONAL EXPRESS (PVT) LTD.,",,,,,,"ACE INTERNATIONAL EXPRESS (PVT) LTD., , 315, Vauxhall Street,",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000FD-1617705693,Ace Power Embilipitiya (pvt) Ltd,Ace Power Embilipitiya (pvt) Ltd,"ACE POWER EMBILIPITIYA (PVT) LTD.,",,,,,,"ACE POWER EMBILIPITIYA (PVT) LTD., , 305, Vauxhall Street,",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000FC-1617705693,Acecam (Pvt) Ltd,Acecam (Pvt) Ltd,Acecam (Pvt) Ltd,,,,,,"Acecam (Pvt) Ltd, 419-2/1 Galle Rd,",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
80000162-1623153520,ACSYS NETWORKS PRIVATE LIMITED,ACSYS NETWORKS PRIVATE LIMITED,ACSYS NETWORKS PRIVATE LIMITED,,,,,,"ACSYS NETWORKS PRIVATE LIMITED, Level 12, Parkland Building, ",Colombo 02,,,,,,,,,,,A,0.00,0.00,0,,1,
800000FB-1617705693,Adapt Information Technologies,Adapt Information Technologies,Adapt Information Technologies,,chathurika@adaptitsl.com,,,,"Adapt Information Technologies (Pvt) Ltd, No. 160, Nawala Road, ",VAT No. 102468295 -,,7000,,,,,,,,Cheque,A,696539.25,696539.25,0,,1,
8000024E-1689743602,"Addis Ventures (Pvt) Limited,","Addis Ventures (Pvt) Limited,","Addis Ventures (Pvt) Limited,",,,,,,"Addis Ventures (Pvt) Limited, , A-6, Seethawaka Export Processing Zone,",,Seethawaka Export,,,,,,,,,,AS,0.00,0.00,0,,1,
800002D3-1737533692,ADL Digi House,ADL Digi House,ADL Digi House,,,,,,"ADL Digi House, No.70/01/25, ","1st Floor, Y M B A Complex",Y M B,,,,,,,,,,AR,0.00,0.00,0,,1,
800000FA-1617705693,ADVANCE DIGITAL SYSTEMS,ADVANCE DIGITAL SYSTEMS,ADVANCE DIGITAL SYSTEMS,,,2949839,,2949839,"ADVANCE DIGITAL SYSTEMS, 15A, FIRST FLOOR, ",WATTALA,,,,,,,,,,,,0.00,0.00,0,,1,
800000F9-1617705692,Advance Network Technologies (Pvt)Ltd,Advance Network Technologies (Pvt)Ltd,,,,,,,"TIN No. 174929157, Advance Network Technologies(Pvt)Ltd",Galle.,,,,,,,,,,Cheque,A,0.00,0.00,0,,1,
800000F8-1617705692,Advanced Micro Technology,Advanced Micro Technology,Advanced Micro Technology (Pvt) Ltd,,,,,,"Advanced Micro Technology (Pvt) Ltd, 563/17, Sarasavi Mawatha, ",Rajagirya,,,,,,,,,,,,0.00,0.00,0,,1,
8000030C-1756274527,Adventa Holdings (Pvt) Ltd,Adventa Holdings (Pvt) Ltd,Adventa Holdings (Pvt) Ltd,,,,,,"Adventa Holdings (Pvt) Ltd, No262, Kaduwela Road, ",VAT No.103197465-7000,,,,,,,,,,,A,0.00,0.00,0,,1,
800000F7-1617705692,ADZ Insurance Brokers(Pvt) Ltd,ADZ Insurance Brokers(Pvt) Ltd,,,,,,,"ADZ Insurance Brokers(Pvt) Ltd, No 140, Vauxhall Street, ",VAT No,,114255742-700,,,,,,,,,AD,0.00,0.00,0,,1,
800000F6-1617705692,Aepona - valistar,Aepona - valistar,AePONA Int Lanka (pvt) Ltd,,,,,,"AEPONA INTERNATIONAL LANKA (PVT) LTD., , 4th Floor, 123 Bauddhaloka Mawatha, ",Colombo 04,,00400,,,,,,,,,,0.00,0.00,0,,1,
800000F5-1617705692,Aero Lanka Enterprises,Aero Lanka Enterprises,Aero Lanka Enterprises,,,,,,"Aero Lanka Enterprises, , 323, 2/5, ",colombo 12.,,,,,,,,,,,,0.00,0.00,0,,1,
800000F4-1617705692,AG International (PTE)Ltd,AG International (PTE)Ltd,AG International (PTE)Ltd,,,,,,"AG International (PTE)Ltd, No:112-114, ",Colombo 02,,,,,,,,,,,,0.00,0.00,0,,1,
