,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,579 Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total 579 Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,a-Design Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total a-Design Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,A-Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/17/2024,,AS010398,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"348,100.00",,"348,100.00",,0.00,,,,,,0.00
,,,,Payment,,01/22/2025,,000481,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-348,100.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/07/2025,,AS010692,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"152,220.00",,"152,220.00",,0.00,,,,,,0.00
,,,,Payment,,09/01/2025,,000776,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-152,220.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/27/2025,,AS010870,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"50,740.00",,"50,740.00",,0.00,,,,,,0.00
,,,,Invoice,,10/31/2025,,AS010883,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"418,900.00",,"469,640.00",,0.00,,,,,,0.00
,,,,Invoice,,11/04/2025,,AS010888,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"462,560.00",,"932,200.00",,0.00,,,,,,0.00
,,,,Credit Memo,,11/04/2025,,AS00119,,,,,,Accounts Receivable,,Sal:RS,,,,Paid,,,,,,,,"-418,900.00",,"513,300.00",,0.00,,,,,,0.00
,,,,Payment,,12/17/2025,,000916,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-513,300.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/10/2026,,AS011049,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"1,364,080.00",,"1,364,080.00",,0.00,,,,,,0.00
,,,,Payment,,04/06/2026,,001067,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,364,080.00",,0.00,,0.00,,,,,,0.00
,Total A-Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,A & R Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/13/2024,,AS010393,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"24,000.00",,"24,000.00",,0.00,,,,,,0.00
