,,,Trans #,,Type,,Date,,Num,,Name,,Memo,,Due Date,,Paid Through,,Item,,Item Description,,Account,,Class,,Rep,,Sales Tax Code,,Clr,,Split,,Paid,,Pay Meth,,Aging,,Qty,,Sales Price,,Amount,,Balance,,Account Type,,Avg Days to Pay,,Paid Date,,Check #,,Paycheck Date,,Pay Period,,Amount Paid
"Dec 31, '23 - Mar 31, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"7,103",,Invoice,,01/13/2024,,AS010021,,E W Balasuriya & Co Pvt Ltd,,BDCOM S2510-C  8Port Switches,,01/13/2024,,,,S2510-C (BDCOM S2510-C  8Port Switches),,BDCOM S2510-C  8Port Switches,,BDCOM,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,35.00,,"32,100.00",,"1,123,500.00",,"1,123,500.00",,Income,,0.00,,,,,,,,,,0.00
,,,"7,109",,Invoice,,01/17/2024,,AS010022,,Techno First (Pvt) Ltd,,Synology 4TB NAS HDD,,01/17/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:EC,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"44,000.00",,"44,000.00",,"1,167,500.00",,Income,,0.00,,,,,,,,,,0.00
,,,"7,113",,Invoice,,01/17/2024,,AS010023,,LANKA COMMODITY BROKERS LTD,,Anti Spam Service,,01/17/2024,,,,Services,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"7,232.61",,"7,232.61",,"1,174,732.61",,Income,,0.00,,,,,,,,,,0.00
,,,"7,114",,Invoice,,01/17/2024,,AS010024,,LANKA COMMODITY BROKERS LTD,,5GB Storage Space  100GB Transfer Bandwidth  1 Nos Fixed IP. (Clean)  SPF/ DKIM Supported  Spam ...,,01/17/2024,,,,Host Email,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"7,316.40",,"7,316.40",,"1,182,049.01",,Income,,0.00,,,,,,,,,,0.00
,,,"7,114",,Invoice,,01/17/2024,,AS010024,,LANKA COMMODITY BROKERS LTD,,7GB Storage Space  100GB Transfer Bandwidth  1 Nos Fixed IP. (Clean)  SPF/ DKIM Supported  Spam ...,,01/17/2024,,,,Host Email,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"9,602.78",,"9,602.78",,"1,191,651.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,119",,Invoice,,01/17/2024,,AS010025,,Armanack Holding (Pvt) Ltd,,TP Link Deco (3Pack) mesh AP Set,,01/17/2024,,,,Accs (Accessories),,Accessories,,Hardware,,Sal:EC,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"109,000.00",,"109,000.00",,"1,300,651.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,120",,Invoice,,01/17/2024,,AS010026,,Barclays Computers (Pvt) Ltd,,Synology DS423 4 Bay NAS,,01/17/2024,,,,Synology:DS423 (Synology DS423 4 Bay NAS),,Synology DS423 4 Bay NAS,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"165,000.00",,"165,000.00",,"1,465,651.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,123",,Invoice,,01/18/2024,,AS010027,,AL - ARAF HOTELS & RESORT (PVT) LTD,,Hosting charges for 10 email Accounts (10$),,01/18/2024,,,,Hosting (Hosting),,Hosting,,Support and Maintenance,,Sal:EC,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"3,250.00",,"3,250.00",,"1,468,901.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,127",,Invoice,,01/19/2024,,AS010028,,Sumathi Information Technology (Pvt) Ltd,,4 TB Seagate Ironwolf NAS Hard Drive,,01/19/2024,,,,HDD:4 TB NAS HDD (4 TB Seagate Ironwolf NAS Hard Drive),,4 TB Seagate Ironwolf NAS Hard Drive,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"48,000.00",,"96,000.00",,"1,564,901.79",,Income,,0.00,,,,,,,,,,0.00
