Type,Date,Num,Name,Item,Account,Rep,Sales Tax Code,Qty,Sales Price,Amount
Invoice,04/01/2025,AS010551,Base Hp (Pvt) Ltd,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,A,Taxable Sales,2.00,"45,000.00","90,000.00"
Invoice,04/01/2025,AS010551,Base Hp (Pvt) Ltd,512GB NVme G3 SSD (512GB NVMe Gen3 SSD),SSD,A,Taxable Sales,2.00,"11,000.00","22,000.00"
Invoice,04/01/2025,AS010552,Barclays Computers (Pvt) Ltd,Synology:DS423 (Synology DS423 4 Bay NAS),Synology,AS,Taxable Sales,2.00,"136,589.83","273,179.66"
Invoice,04/01/2025,AS010553,Barclays Computers (Pvt) Ltd,BDCOM:S1518-16P-330 (BDCOM S1518-16P-330 16Port Unmanaged Gigabit POE Switch),BDCOM,AR,Taxable Sales,1.00,"42,200.00","42,200.00"
Invoice,04/01/2025,AS010554,Liyakta Office Systems (Pvt) Ltd,Synology:DS223j (Synology DS223j  ),Synology,AD,Taxable Sales,1.00,"64,000.00","64,000.00"
Invoice,04/01/2025,AS010554,Liyakta Office Systems (Pvt) Ltd,HDD:HAT3300-2T (Synology 2TB Plus Hard Drive),Hard Drive,AD,Taxable Sales,2.00,"33,800.00","67,600.00"
Invoice,04/01/2025,AS010555,ARC ONE (Pvt) Ltd,HDD:12 TB NAS (12 TB Seagate Ironwolf NAS Hard Drive),Hard Drive,AD,Taxable Sales,1.00,"156,000.00","156,000.00"
Invoice,04/02/2025,AS010556,Rapidventure (Pvt) Ltd,Draytek:Vigor 2915 (Draytek Vigor 2915 Security Appliance),Draytek,AD,Taxable Sales,1.00,"38,500.00","38,500.00"
Invoice,04/02/2025,AS010556,Rapidventure (Pvt) Ltd,Draytek,Draytek,AD,Taxable Sales,1.00,"20,000.00","20,000.00"
Invoice,04/02/2025,AS010557,POWER HOUSE (PVT) LTD,HDD:HAT3310-16T (Synology 16TB Plus HDD),Hard Drive,A,Taxable Sales,4.00,"133,500.00","534,000.00"
Invoice,04/03/2025,AS010558,E-Net Integrated Solutions (Pvt) Ltd,BDCOM:S1200-8P2G (BDCOM S1200-8P2G Switch),BDCOM,AR,Non-Taxable Sales,1.00,"10,500.00","10,500.00"
Invoice,04/07/2025,AS010559,Base Hp (Pvt) Ltd,Synology:DS423 (Synology DS423 4 Bay NAS),Synology,A,Taxable Sales,1.00,"178,800.00","178,800.00"
Invoice,04/07/2025,AS010559,Base Hp (Pvt) Ltd,HDD:HAT3310-8T (Synology 8TB Plus Hard Drive),Hard Drive,A,Taxable Sales,2.00,"88,500.00","177,000.00"
Invoice,04/07/2025,AS010559,Base Hp (Pvt) Ltd,Acronis,Acronics,A,Taxable Sales,1.00,"444,000.00","444,000.00"
Invoice,04/07/2025,AS010560,Star Technology,BDCOM:GSFP-SX-D,BDCOM,AD,Non-Taxable Sales,2.00,"4,800.00","9,600.00"
Invoice,04/08/2025,AS010561,E Con Network (Pvt) Ltd,BDCOM:S1500-8P2G (BDCOM S1500-8P2G Switch),BDCOM,AR,Taxable Sales,20.00,"14,500.00","290,000.00"
